"Query,Intent"
"Where are the ATMs that I can use Mastercard?,Banking"
"i need a flight from atlanta to charlotte north carolina next monday,Non-Banking"
"Can you use your voice to reply?,Non-Banking"
"Is my fiat currency supported for both hold and exchange?,Banking"
"Can I use as many top-ups as I want?,Banking"
"what type of aircraft are used on flights from cleveland to dallas that leave before noon,Non-Banking"
"Hey, got a minute to talk?,Non-Banking"
"Can I use my new card?,Banking"
"What is this witdrawal,Banking"
"How’s it going?,Non-Banking"
"show me all flights to philadelphia in the evening,Non-Banking"
"I found a transfer fee - is that correct?,Banking"
"My card is no longer lost. How do I enter it back into the app?,Banking"
"Use voice replies for me. Hey, what's your name?,Non-Banking"
"all flights from boston to washington dc after 5 pm on november eleventh economy class,Non-Banking"
"I made a transfer and the receiver said they haven't actually received the right amount, but it's a bit less. Now I have to transfer more money to make up for the missing bit. Can you please alert me about this, what has been going on?,Banking"
"show me flights from tampa to st. louis,Non-Banking"
"How do I check security settings using the app?,Banking"
"My wallet doesn't show my recent top up.,Banking"
"how do I get my card to show in the app?,Banking"
"I need to add more funds to my card today because it keeps being declined, and I need to use it immediately. Can you fix this or tell me alternatives?,Banking"
"list the flights arriving in boston from atlanta on august fifth,Non-Banking"
"What is necessary for the identity verification?,Banking"
"Search for courses in machine learning.,Non-Banking"
"Why is my ATM withdrawal still pending?,Banking"
"flights between tampa and st. louis,Non-Banking"
"Hey, can we discuss something here?,Non-Banking"
"how do i get from pittsburgh airport to downtown pittsburgh,Non-Banking"
"can i add funds with a card from the united states,Banking"
"show me the latest flight to love field,Non-Banking"
"oh my god I lost my card! what should I do?,Banking"
"Hi, anyone here to talk?,Non-Banking"
"Open the landing page for Corporate Social Responsibility.,Non-Banking"
"I need my card to be activated right now.,Banking"
"oakland to philadelphia saturday,Non-Banking"
"I don't think my top up worked,Banking"
"Is there a mobile app available for the platform?,Non-Banking"
"i would like to know the latest flight on wednesday you have leaving from oakland to salt lake city which offers a meal,Non-Banking"
"How long does it take for a transfer to reach my account?,Banking"
"I would like to know more about what a disposable virtual card is?,Banking"
"what does us mean,Non-Banking"
"Is currency exchange possible?,Banking"
"list all afternoon flights leaving baltimore and arriving in atlanta on thursday,Non-Banking"
"My card payment has been on pending forever. What is the problem? It should have gone through at some time by now.,Banking"
"Why is the exchange rate terrible? That can't be close to the actual interbank rate.,Banking"
"show me the flights from denver to pittsburgh and atlanta,Non-Banking"
"Please delete my account and personal information.,Banking"
"What's your preferred name?,Non-Banking"
"show me all flights from boston to pittsburgh on wednesday after 6 o'clock pm,Non-Banking"
"What skills are emphasized in the Psychology of Social Behavior course?,Non-Banking"
"How is the Data Mining Techniques course rated?,Non-Banking"
"Is American Express supported for adding funds?,Banking"
"what nonstop flights between boston and washington arrive after 5 o'clock pm,Non-Banking"
"show flights first class on american from dallas fort worth to san francisco international,Non-Banking"
"show me flights from denver to washington dc on a wednesday,Non-Banking"
"show all connecting flights from pittsburgh to oakland,Non-Banking"
"what are the flights from pittsburgh to denver,Non-Banking"
"I have to verify my identity. What do I need to do?,Banking"
"i want a nonstop flight from indianapolis to toronto that leaves thursday morning,Non-Banking"
"what are the coach fares from la to charlotte monday morning,Non-Banking"
"is the a reason why my transfer has failed?,Banking"
"what is the cheapest fare from dallas to denver round trip,Non-Banking"
"How much to exchange currencies?,Banking"
"give me the first flight from boston to atlanta,Non-Banking"
"what flight do you have from atlanta to dallas on august twenty seventh in the morning,Non-Banking"
"Will I receive a new card when mine expires?,Banking"
"what evening flights do you have available from baltimore to philadelphia,Non-Banking"
"list all the flights that takeoff from general mitchell international,Non-Banking"
"I can't find the virtual card,Banking"
"I CAN NOT FIND THE TOP-UP VERIFICATION CODE.,Banking"
"Take me to the course overview for Sustainable Business Practices.,Non-Banking"
"Somebody used my card without my knowledge!,Banking"
"How can I check on the status of my new card?,Banking"
"give me the flights from miami to new york using tower air,Non-Banking"
"What services are within your scope?,Non-Banking"
"Is there an alternative to a physical card?,Banking"
"i have two friends that would like to visit me on wednesday here in washington dc one of them lives in denver and the other lives in miami,Non-Banking"
"show flights from baltimore to san francisco between 6 pm and 8 pm on friday,Non-Banking"
"show me the latest nonstop flight from denver to washington dc,Non-Banking"
"The app is having trouble verifying my identity.,Banking"
"There is a withdrawal waiting.,Banking"
"What is this cash withdrawal I don't recognize?,Banking"
"There is random cash in my account.,Banking"
"Do I need to verify my top-up card?,Banking"
"Can you help me find a new hobby?,Non-Banking"
"I noticed a charge for a transfer. Why is this? Is it because I did an international transfer?,Banking"
"There are two of the same charge on my statement.,Banking"
"on november twenty third what flights are available between boston and denver,Non-Banking"
"please find me a flight between boston and philadelphia that arrives in philadelphia close to 5 pm,Non-Banking"
"flights on sunday from tampa to charlotte,Non-Banking"
"I must change my PIN as soon as possible.,Banking"
"What functionalities do you excel in?,Non-Banking"
"Could you please put a freeze on my card? There are some payments on it that I don't know where they came from.,Banking"
"Can you tell me what cards and currencies you support?,Banking"
"How can I get my card out of the ATM?,Banking"
"I tried to top up but the app rejected it.,Banking"
"show me the flights from love field,Non-Banking"
"Hi, can we talk?,Non-Banking"
"My card payment did not go through.,Banking"
"I don't recognize a charge on my statement.,Banking"
"What are the restrictions on auto top-up?,Banking"
"how to get new card after atm eats it,Banking"
"show me the flights from pittsburgh to baltimore,Non-Banking"
"what flights from atlanta to st. louis on tuesday arriving around 230 pm,Non-Banking"
"What steps do I need to take for the identity checking process?,Banking"
"I have noticed that my account was double charged for a couple of items this week. Please review and refund the double charged items back.,Banking"
"show me the airlines between toronto and denver,Non-Banking"
"please list for me the flights on united airlines between boston and denver,Non-Banking"
"If I can, I would like to get both Mastercard and Visa from you.,Banking"
"which flights go from pittsburgh to atlanta in the evening,Non-Banking"
"Can my account be topped up by my friends?,Banking"
"Why haven't I gotten a virtual card yet?,Banking"
"what's the fare from washington to boston,Non-Banking"
"please give me evening flights leaving philadelphia to san francisco friday,Non-Banking"
"Can you suggest a course in international relations?,Non-Banking"
"How do I create a playlist on Spotify?,Non-Banking"
"what flights are there on saturdays from philadelphia to denver,Non-Banking"
"I need psychological counseling.,Non-Banking"
"I think my card has been compromised in some way.,Banking"
"Navigate to the page for Principles of Marketing.,Non-Banking"
"which airlines fly from boston to washington,Non-Banking"
"oakland to philadelphia,Non-Banking"
"can i use my app to get a virtual card,Banking"
"Search for courses in data analysis.,Non-Banking"
"Open the landing page for Business Continuity Planning.,Non-Banking"
"How do I top up my account using transfer?,Banking"
"Where can I find out how to transfer money into my account.,Banking"
"Can I get a full list of instructions for identity checks?,Banking"
"does flight dl 323 dl 229 from boston to denver stop in philadelphia,Non-Banking"
"show me all canadian airlines flights from toronto,Non-Banking"
"Switch off audio replies. Take me to the page for Business Performance Metrics.,Non-Banking"
"What do I do about a debit on my account that I didn't make?,Banking"
"show me all flights from denver to san francisco,Non-Banking"
"How can correct Top up with the app to work correctly?,Banking"
"i want a flight that leaves from charlotte to newark that leaves in the afternoon or evening,Non-Banking"
"How can my friends top up my account?,Banking"
"what flights from atlanta to washington,Non-Banking"
"maximum how many days get the courier?,Banking"
"Access the course syllabus for Corporate Governance.,Non-Banking"
"What assistance do you offer?,Non-Banking"
"where is my new card?,Banking"
"what's the first flight from dallas to houston,Non-Banking"
"I just saw the exchange rate you use, but it's so bad that I can't believe that it's the official interbank exchange rate! Is this truly the official interbank exchange rate?,Banking"
"I have double-checked all of my recipient details but for some reason all of my transfers keep getting declined. I have no clue as to why.,Banking"
"I require verification for my source of funds.,Banking"
"list least expensive flight from dallas to baltimore,Non-Banking"
"how much does a first class round trip ticket from cleveland to miami on us air cost,Non-Banking"
"chicago to milwaukee,Non-Banking"
"What is the cost for physical cards?,Banking"
"I'm sure I have enough money so why didn't the store accept my card?,Banking"
"Is there a way to top-up when it reaches a certain balance?,Banking"
"show me all the flights from montreal to detroit,Non-Banking"
"Can I get some help activating my new card?,Banking"
"give me fares from atlanta to baltimore,Non-Banking"
"Hi, can we chat for a second?,Non-Banking"
"the exchange rate was different than expected,Banking"
"list the flights on sunday afternoon from oakland to dallas,Non-Banking"
"I need my PIN, where is it?,Banking"
"what flights leave from chicago to seattle on saturday,Non-Banking"
"What do I do to activate my new card?,Banking"
"I'm having money transferred from Europe, how long will this take?,Banking"
"please show me any united flights including connections between boston and san francisco at 5 in the evening,Non-Banking"
"How can I donate to educational initiatives?,Non-Banking"
"tell me which airlines have flights from pittsburgh to san francisco on monday september second,Non-Banking"
"Do you have the best exchange rate?,Banking"
"can you tell me how to get from the airport in philadelphia to downtown,Non-Banking"
"are there any flights between philadelphia and denver,Non-Banking"
"Any extra charges for exchanging currencies?,Banking"
"Hey, how’s it going?,Non-Banking"
"Can I use my Apple watch to fill my gas tank?,Banking"
"Will I get charged on a foreign currencies exchange?,Banking"
"flight 417 from cincinnati to dallas,Non-Banking"
"Speak to me. Hello, got a moment?,Non-Banking"
"Hi, anyone online to chat?,Non-Banking"
"I want to use a payment card to top up my account. How can I do this?,Banking"
"I see a duplicate payment.,Banking"
"Why are you charging for cash withdrawals? I went to withdraw some money earlier today after getting my groceries, and it appears there is a fee that wasn't there before,Banking"
"How do I go forth on holding money in multiple currencies?,Banking"
"Could you describe the skills covered in the Computer Science Data Mining course?,Non-Banking"
"Why is my card payment still pending? It should have gone through already.,Banking"
"I can't find my code,Banking"
"what are your exchange rates at?,Banking"
"Why is it necessary to verify the top up?,Banking"
"what's the earliest flight from dallas to houston,Non-Banking"
"show me the flight from detroit to westchester county with the highest one way fare,Non-Banking"
"Why does top-up need to be verified?,Banking"
"show me all the flights from baltimore to columbus,Non-Banking"
"Hi, can we chat?,Non-Banking"
"What's the difficulty level of the Android Game Development Fundamentals course?,Non-Banking"
"Name what?,Non-Banking"
"How many top-ups can be approved?,Banking"
"thank you i also need to travel next wednesday evening from dallas to san francisco,Non-Banking"
"I'm still waiting for my transaction.,Banking"
"I selected to withdrawal 30 pounds but only received 10. I'm still standing in front of the ATM. The app shows i took out 30 pounds also. How do i fix this?,Banking"
"The ATM didn't give me enough money.,Banking"
"There was money taken out of my account, and I'm pretty sure I didn't do it.,Banking"
"How can I get a refund for an item I purchased but has not yet arrived?,Banking"
"Is this an AI or real assistant?,Non-Banking"
"There is something wrong with my card. Tried to use it a few times today in different places and it just didn't work. The transactions I tried to make were really small so not sure what's going on,Banking"
"Why have I not received my PIN,Banking"
"What do you need for the identity verification,Banking"
"In reviewing my statement, I show I have two charges for the same purchase at the same time, which I have not made in duplicate? How do I get this solved?,Banking"
"Hi, can you help me with something?,Non-Banking"
"Take me to the page for Project Management Fundamentals.,Non-Banking"
"first class from detroit to st. petersburg,Non-Banking"
"Hi, Last week I have contacted the seller for a refund as directed by you, but i have not received the money yet. Please look into this issue with seller and help me in getting the refund.,Banking"
"what does ff mean,Non-Banking"
"What are the charges if I exchange foreign currency?,Banking"
"Why is the check I deposited this morning not showing up?,Banking"
"He opened an interest group for hikers who love river banks.,Non-Banking"
"Can you provide me a disposable virtual card?,Banking"
"how do i get a refund for a direct debit payment i didn't make,Banking"
"I need you to delete my account right now.,Banking"
"Can the exchange rate change while I am in the process of making a withdrawal?,Banking"
"I got charged fees for withdrawing cash!,Banking"
"show me the list of us air flights between boston and dc,Non-Banking"
"I notice that I have a card payment that's been cancelled.,Banking"
"show me the flights from san francisco to dallas on continental airlines,Non-Banking"
"Do you allow exchanges of EUR?,Banking"
"round trip fares new york to san jose,Non-Banking"
"You sent me a card and now I want to link it.,Banking"
"Are you a human AI assistant?,Non-Banking"
"I tried to get money out of an ATM in Notting Hill earlier, but it didn't work. Is my card actually working? It's the first time I tried using it,Banking"
"please show me flights from san francisco to dallas,Non-Banking"
"Hey, how’s everything?,Non-Banking"
"Display the landing page for Entrepreneurship and Innovation.,Non-Banking"
"Unknowingly to me the payment sent to seller has been redeposied back in my account. I do not know why it would take out the payment and then put it back in my account. Can you resolve this as soon as possible?,Banking"
"Why wasn't my top-up accepted and where did that money go? At first it said it was confirmed but now I can't find it.,Banking"
"I made a transfer a couple hours ago but my balance has not been updated. Why is this? Shouldnt this be instant?,Banking"
"Please help to explain to me why my new card was declined when I tried to use it at my grocery store this morning to pay for the items I needed. I tried three times to use it and it kept being declined. I was very embarrassed standing there trying to buy my groceries.,Banking"
"Could you describe the skills covered in the Data Science for Beginners course?,Non-Banking"
"what flights leave pittsburgh july fifth after 7 pm and arrive in san francisco,Non-Banking"
"Use voice instead of text. What functionalities do you excel in?,Non-Banking"
"How do I participate in a course discussion?,Non-Banking"
"Can I top up my card with other cards?,Banking"
"show me all flights from boston to pittsburgh on wednesday of next week which leave boston after 2 o'clock pm,Non-Banking"
"What's the interest rate in your bank?,Banking"
"Detail the services you offer.,Non-Banking"
"How do I get rid of pests in my house?,Non-Banking"
"What is the reason a transfer shows as pending?,Banking"
"which airlines fly between boston and pittsburgh,Non-Banking"
"what is the earliest flight from washington to atlanta leaving on wednesday september fourth,Non-Banking"
"How do I get my card active?,Banking"
"is there a flight between oakland and boston with a stopover in dallas fort worth on twa,Non-Banking"
"There's an error in regards to the exchange rate for an item I bought.,Banking"
"Is there any way i get a disposable virtual card as well?,Banking"
"Can I change my subscription plan?,Non-Banking"
"please list all flights between boston and atlanta,Non-Banking"
"I was under the impression ATM cash withdrawals were free. Why was I suddenly charged for my most recent ATM transaction?,Banking"
"i'd like to find a flight between dallas and philadelphia,Non-Banking"
"july seventh what is the cost of a round trip ticket traveling first class on united airlines leaving from denver going to baltimore,Non-Banking"
"Show me the details for Managerial Leadership and Decision Making.,Non-Banking"
"what stops does dl 838 make from san francisco to atlanta,Non-Banking"
"What's the best way to save money?,Non-Banking"
"i'm looking for a flight traveling from boston to denver one way and the cheapest way possible,Non-Banking"
"Why is my top up for my new account not instant,Banking"
"I made a transfer from France two days ago now but there hasn't made it there yet. Do international transfers take longer?,Banking"
"Search for courses in corporate culture.,Non-Banking"
"I just realised I made the wrong payment yesterday. Can you please change it to the right account? It's my rent payment and really really needs to be in the right account by tomorrow,Banking"
"would you tell me the cheapest one way fare from boston to oakland,Non-Banking"
"Display the landing page for Organizational Leadership.,Non-Banking"
"Is there a specific source that the exchange rate for the transfer I'm planning on making is pulled from?,Banking"
"what are the flights from boston to philadelphia,Non-Banking"
"How can I sign up for a virtual card?,Banking"
"what is the price of flights from indianapolis to memphis,Non-Banking"
"I need to exchange some foreign currency. What's the charge for doing that?,Banking"
"Talk to me using your voice.,Non-Banking"
"Is there a fee for adding funds with a credit card?,Banking"
"is there an airline that services boston dc and dallas,Non-Banking"
"Good day, what's your name?,Non-Banking"
"Is this a human AI?,Non-Banking"
"Can I track my card while it is in the process of delivery?,Banking"
"i would like a flight from dallas to philadelphia,Non-Banking"
"please list the flights from dallas fort worth to dc baltimore on july twenty third,Non-Banking"
"What does it mean if it says that my payment is pending?,Banking"
"Can you unblock my blocked pin?,Banking"
"Use text for responses.,Non-Banking"
"What ATM locations are near me?,Banking"
"what ground transportation is available from the pittsburgh airport,Non-Banking"
"what is fare code m,Non-Banking"
"My throwaway virtual card won't work,Banking"
"Can you make sure I get a MasterCard and not a Visa?,Banking"
"show me the flights from denver to philadelphia and the flights from pittsburgh to philadelphia,Non-Banking"
"show me fares leaving on tuesdays from denver to dallas,Non-Banking"
"what is the ground transportation from philadelphia airport to the city proper,Non-Banking"
"Display the landing page for Business Process Redesign.,Non-Banking"
"delta flights to san francisco please,Non-Banking"
"i'd like a flight from las vegas to detroit on monday,Non-Banking"
"i would like to book a flight from denver to pittsburgh on july fifteenth i'd like it to be the cheapest flight,Non-Banking"
"I am getting an error stating my transfer is not possible while transferring money. Let me know the issue as its the first time i am getting error, earlier it used to work.,Banking"
"Turn on text replies. What are your areas of expertise?,Non-Banking"
"on november twenty third of this year 1991 i'd like to fly from atlanta to denver and i'd like to fly on delta,Non-Banking"
"show me airports near washington dc,Non-Banking"
"all flights from montreal less than 150 dollars,Non-Banking"
"I thought I can make transfers for free, this is not fair. I bought something online from abroad and there was some weird additional fee that I've never seen before?,Banking"
"i would like a nonstop flight between pittsburgh and philadelphia leaving in the afternoon and arriving in the vicinity of 5 pm,Non-Banking"
"flights from newark new jersey to cleveland ohio,Non-Banking"
"I need information explaining why my top-up failed to go through,Banking"
"what flights leave from boston to pittsburgh in the morning,Non-Banking"
"Some cash has been withdrawn but I didn't do it.,Banking"
"show me all the united flights from boston to denver,Non-Banking"
"Hello, I noticed there is a payment from my card to a business that I am not familiar with. I definitely did not make this payment.,Banking"
"how many first class flights does united have leaving from all cities today,Non-Banking"
"Which flat currencies are supported for holding and exchange?,Banking"
"Access the course syllabus for Strategic Leadership.,Non-Banking"
"what is the price of a one way fare from atlanta to boston,Non-Banking"
"Hi, anyone online?,Non-Banking"
"please list the shortest one stop flight from ontario california to orlando florida,Non-Banking"
"where does canadian airlines international fly,Non-Banking"
"of the flights available from dallas to baltimore on august third which airline has the least expensive flight,Non-Banking"
"okay could you tell me what flight leaves dallas to san francisco by united airline,Non-Banking"
"Switch off audio mode.,Non-Banking"
"How do I know how much money I will have when I travel abroad?,Banking"
"when can i fly from philadelphia to dallas on a saturday morning,Non-Banking"
"think someone is using my card with permission,Banking"
"What is the limits on the number of disposable cards I can have?,Banking"
"show afternoon flights from houston to dallas,Non-Banking"
"Why has transferring money resulted in a charge?,Banking"
"My card is about to expire. What do I need to do to keep using my card?,Banking"
"what is a flight that goes from baltimore to san francisco and arrives at san francisco at 8 pm on a friday,Non-Banking"
"Can you suggest a course in computer networking?,Non-Banking"
"I went to do a transfer and it was declined.,Banking"
"Hello, I have a question concerning an unfamiliar fee that I notice on my account. I see that you guys charge for ATM withdrawal. Never notice this fee until now. Can you please explain?,Banking"
"I want to transfer money into my account,Banking"
"show me the fare for delta flight 296 from atlanta to philadelphia,Non-Banking"
"i want to fly united airlines from boston to denver,Non-Banking"
"my check or cash deposit has not shown up,Banking"
"i would like a schedule of flights from san francisco to boston on wednesday,Non-Banking"
"I know there's money in my account, why did my account decline me?,Banking"
"Activate your voice mode. Open the landing page for Business Strategy Implementation.,Non-Banking"
"Switch off talking mode.,Non-Banking"
"what ground transportation can i take into boston,Non-Banking"
"A direct debit payment that I didn't authorise shows up in my app.,Banking"
"Where can I buy a power bank nearby?,Non-Banking"
"I think I deserve a refunded on a certain item.,Banking"
"i'd like to arrange a flight from pittsburgh to atlanta,Non-Banking"
"i need information on ground transportation from the airport in atlanta,Non-Banking"
"Describe the services you excel in.,Non-Banking"
"are they all nonstop flights from kansas city to st. paul,Non-Banking"
"on august thirtieth please schedule me on a flight from denver to san francisco early in the morning,Non-Banking"
"i'd like a flight from montreal to san diego for sunday,Non-Banking"
"can i get a virtual card online,Banking"
"my virtual card has not came yet!,Banking"
"I made a mistake of transferring, can I cancel my previous transfer?,Banking"
"I think there has been a mistake with my transfer,Banking"
"i would like a us air flight from toronto to san diego with a stopover in denver please,Non-Banking"
"how do I ask for a physical card?,Banking"
"Is it possible to hold money in multiple currencies?,Banking"
"How can I get a disposable virtual card?,Banking"
"I am sure I have plenty of money to transfer but my transfer is being declined.,Banking"
"Turn on speaking mode. Enumerate the functions you provide.,Non-Banking"
"Can you tell me about the rating for the Fine Arts Appreciation course?,Non-Banking"
"Help me activate my new card.,Banking"
"where are the transfers originating,Banking"
"is there an airline that advertises having more flights than any other airline,Non-Banking"
"What forms of ID do you need for identity verification?,Banking"
"Can I activate my card?,Banking"
"Since I need to exchange currencies frequently, would you be able to offer me a discount?,Banking"
"I got charged twice with a duplicate card. How do I resolve this?,Banking"
"what ground transportation is available in pittsburgh,Non-Banking"
"I'm cancelling this charge. I still have not received what I bought from these people a while ago.,Banking"
"Hi, can we talk for a second?,Non-Banking"
"Card payment has be declined.,Banking"
"what's the earliest flight i can get between boston and dallas,Non-Banking"
"i'd like to have some information on a ticket from denver to atlanta with a stop in pittsburgh,Non-Banking"
"How can i get new card?,Banking"
"When will my payment go through?,Banking"
"How and where can I find the identity checks?,Banking"
"can i get a rental car in dallas,Non-Banking"
"i'd like a first class flight from denver to baltimore on january first,Non-Banking"
"How do I verify the top up?,Banking"
"Can you tell me when the transfer will be completed?,Banking"
"Please tell me why I am having problems transferring to a beneficiary.,Banking"
"How do I download an app on my phone?,Non-Banking"
"Someone might be using my card. What should I do?,Banking"
"It's been a couple days how much longer do I have to wait for my transfer?,Banking"
"what are limits to top up,Banking"
"Please help me. I am still waiting on a refund.,Banking"
"flights from atlanta to washington dc,Non-Banking"
"what are the flights from denver to baltimore on august tenth,Non-Banking"
"What do you think of the exchange rate?,Banking"
"Is a tracking number available for the card that was just sent?,Banking"
"How can I see the progress of delivery of the card that was sent?,Banking"
"The wrong exchange rate was applied to me while pulling out cash.,Banking"
"How do I reset my passcode?,Banking"
"when is the first flight in the morning from boston to denver,Non-Banking"
"I have a direct debit I didn't set up,Banking"
"I thought I knew my password but I guess I was wrong, what can I do now?,Banking"
"I had a decline on my card. Why?,Banking"
"I returned something to a store but can't see my refund.,Banking"
"show all flights from denver to san francisco,Non-Banking"
"what type of aircraft leaving after 2 pm from boston to oakland,Non-Banking"
"Why was my transaction declined?,Banking"
"Hi, what’s new today?,Non-Banking"
"list all the flights that arrive at general mitchell international airport,Non-Banking"
"i want to fly from cleveland to san diego tomorrow and stop in indianapolis,Non-Banking"
"I would like my card activated.,Banking"
"Unsure how to provide my identity.,Banking"
"I took out some cash from the ATM but it is still showing the transaction is pending.,Banking"
"show me the cheapest fare from baltimore to dallas,Non-Banking"
"How come my card payment is still pending?,Banking"
"I did not get enough cash,Banking"
"Why do my transfers keep failing?,Banking"
"can I be charged for topping up by card,Banking"
"My card don't work.,Banking"
"Should my top up still be pending?,Banking"
"is there a united flight from baltimore to san francisco on the morning of august twenty seventh,Non-Banking"
"show me the cheapest round trip fares from san francisco to salt lake city,Non-Banking"
"show me all nonstop flights between denver and oakland leaving after noon and arriving after 5 pm,Non-Banking"
"My statement indicates I made a payment to an unfamiliar merchant.,Banking"
"Enable talking mode. How can I advocate for inclusive language policies in educational settings?,Non-Banking"
"Balance hasn't been updated following a bank transfer,Banking"
"Help me unblock my PIN.,Banking"
"give me the list of flights for continental airlines between boston and denver,Non-Banking"
"show me all daily flights from milwaukee to orlando,Non-Banking"
"Access the course details for Business Information Technology.,Non-Banking"
"How long does it take for a transfer to finish pending?,Banking"
"what are the flights from nashville to tacoma on tuesday the eighteenth of may,Non-Banking"
"Hello, are you an AI?,Non-Banking"
"I received a returned payment that I made.,Banking"
"please list all flights that leave denver before noon on northwest airlines,Non-Banking"
"Can I use SWIFT transfers?,Banking"
"I've already sent the money out and still have not received money in my account.,Banking"
"I need a mini statement from my bank.,Banking"
"what's the lowest one way fare from pittsburgh to denver,Non-Banking"
"could you tell me about flights from philadelphia to dallas the flights should leave philadelphia in the morning,Non-Banking"
"show me all the flights from denver to las vegas,Non-Banking"
"Why has my top up been cancelled,Banking"
"on continental flight 1765 from boston to san francisco what type of meal is served,Non-Banking"
"Is it possible to exchange currencies on the app?,Banking"
"information on american airlines flight from washington to philadelphia,Non-Banking"
"Access the course syllabus for Financial Management for Entrepreneurs.,Non-Banking"
"Hey, quick question,Non-Banking"
"what airlines fly between san francisco and denver,Non-Banking"
"Enable voice mode.,Non-Banking"
"When do I set up my card PIN?,Banking"
"My money I had was gone and I could not get gas!,Banking"
"what are the coach fares for flights from pittsburgh to denver,Non-Banking"
"show me flights from new york to miami,Non-Banking"
"Is there anywhere I can't use my card?,Banking"
"which cities are serviced by both american and delta airlines,Non-Banking"
"The app says I made a cash withdrawal that I didn't make,Banking"
"i'm looking for a flight that goes from san jose to houston on may thirtieth and that leaves after noon,Non-Banking"
"What's the process to receive a second card?,Banking"
"The day before yesterday, I performed a transfer within the country. It still has not completed. Can you check on that? The account number is definitely correct, as I've checked.,Banking"
"How do I add a course to my wishlist?,Non-Banking"
"i need the cheapest direct flight from atlanta to denver leaving on may seventh,Non-Banking"
"show me the flights from boston to pittsburgh on wednesdays and thursdays,Non-Banking"
"What documents are required for proof of identity?,Banking"
"Why did my transfer to a beneficiary fail?,Banking"
"what flights go to san francisco from boston,Non-Banking"
"Talk to me with text.,Non-Banking"
"show me all flights from atlanta to san francisco which leave atlanta after 5 o'clock pm tomorrow,Non-Banking"
"top up for my american express card is not working,Banking"
"round trip fares from baltimore to philadelphia less than 1000 dollars or round trip fares from denver to philadelphia less than 1000 dollars or round trip fares from pittsburgh to philadelphia less than 1000 dollars,Non-Banking"
"What reasons could cause my top up to be reverted,Banking"
"show me flights from anywhere to philadelphia arriving after 2100,Non-Banking"
"Display the landing page for Business Process Improvement.,Non-Banking"
"i would like to fly from boston to san francisco,Non-Banking"
"what type of ground transportation is available in washington,Non-Banking"
"I bough an item and the exchange rate was incorrect.,Banking"
"Help me create several temp cards every day.,Banking"
"Hi, are you a real chatbot?,Non-Banking"
"Hi, need to talk,Non-Banking"
"I was out today looking forward to paying with my new card, but the payment just kept getting declined. This is really sad, what's going on?,Banking"
"I am seeing in the App a some cash withdrawal that I did not do,Banking"
"Start responding with voice.,Non-Banking"
"i would like a flight leaving from washington to boston at 110 pm on august twentieth,Non-Banking"
"Transfer has failed.,Banking"
"are there any flights from milwaukee to tacoma on friday june eleventh,Non-Banking"
"What cards do you accept to top up my account?,Banking"
"list daily flights from denver to boston,Non-Banking"
"eastern flight 825 from atlanta to denver leaving at 555 what type of aircraft is used on that flight,Non-Banking"
"How do I create a meal plan?,Non-Banking"
"could you list for me the flights that leave oakland on sunday and arrive in dallas,Non-Banking"
"How much can I top up on my card?,Banking"
"I may no longer need GBP, but instead I will need AUD, how can I go about making this change?,Banking"
"please show me continental flights from san francisco to pittsburgh on friday,Non-Banking"
"I have a card payment that I don't recognize. What should I do?,Banking"
"What is the procedure to transfer money to my account?,Banking"
"Turn on your voice mode.,Non-Banking"
"pittsburgh to denver,Non-Banking"
"What currencies can my account be in?,Banking"
"What number of times can I top-up?,Banking"
"How can i get a refund for something i just bought?,Banking"
"What is the return policy?,Banking"
"Please help me figure out the reason for the odd withdrawal amount from my account?,Banking"
"Why verify the top-ups?,Banking"
"Can you provide details about the difficulty level of the Discrete Mathematics and Logic course?,Non-Banking"
"Show me the details for Business Leadership.,Non-Banking"
"from pittsburgh to baltimore,Non-Banking"
"How do I link Aadhaar with my bank account?,Banking"
"I've used my account frequently over the last month to manage my payments from abroad for my new place. I noticed that my fees have suddenly increased. As a frequent customer, shouldn't I be rewarded rather than suddenly being subject to a new fee?,Banking"
"How long does it take for the transfer to go through?,Banking"
"Explain your supported functions.,Non-Banking"
"show me the aircraft that canadian airlines uses,Non-Banking"
"flights from denver to chicago on sunday on continental,Non-Banking"
"I was under the impression that you offer crypto top up; however, it doesn't appear to be working. The money has now disappeared from my account so I need to know what the deal is?,Banking"
"can you list all flights from chicago to st. louis that depart after 12 noon,Non-Banking"
"i'm starting from denver,Non-Banking"
"what is the fare on the thrift economy flight from boston to san francisco,Non-Banking"
"When can I expect my transfer to reach my account?,Banking"
"Use your voice to answer me.,Non-Banking"
"how do you travel from san francisco airport to downtown san francisco,Non-Banking"
"Last week I put a cash deposit into my account and it is still isn't there.,Banking"
"What are the exchange rates?,Banking"
"show me a list of the flights from san francisco to boston,Non-Banking"
"What policies exist for promoting diversity and inclusion in educational settings?,Non-Banking"
"please tell me how many nonstop flights there are from boston to atlanta,Non-Banking"
"I withdrew cash and was charged. Why?,Banking"
"show me the flights from newark new jersey to ontario international next saturday,Non-Banking"
"How many cards can I have?,Banking"
"i need a flight from san diego to indianapolis leaving in the afternoon on tuesday,Non-Banking"
"what are the most expensive first class tickets between atlanta and dallas,Non-Banking"
"what flights are available from pittsburgh to baltimore on july twenty fifth 1991,Non-Banking"
"what is the cheapest fare for flights from boston to dallas,Non-Banking"
"what flights are there between washington dc and san francisco after 6 pm on wednesday,Non-Banking"
